Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Length (ft),Breadth (ft),Rate/SqFt
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,40.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,43
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,44.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,52
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,53.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,53
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,54.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,36
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,37.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,41
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,42.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,47
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,12,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,48.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,55
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,16,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,56.5
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,57
Full Red Core Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,18,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,58.5
Calibrated Semi-Hardwood Plywood,"Calibrated, MR (Moisture Resistant), MUF",Okoume,16,,,,,,,,"Calibrated, MR (Moisture Resistant), MUF",,,56
Calibrated Semi-Hardwood Plywood,"Calibrated, MR (Moisture Resistant), MUF",Okoume,18,,,,,,,,"Calibrated, MR (Moisture Resistant), MUF",,,59
Cochin Premium Hardwood Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",Gurjan,6,,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",,,46
Cochin Premium Hardwood Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",Gurjan,8,,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",,,49
Cochin Premium Hardwood Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",Gurjan,12,,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",,,56
Cochin Premium Hardwood Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",Gurjan,16,,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",,,64
Cochin Premium Hardwood Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",Gurjan,18,,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant), ISI 303",,,67
Cochin Premium Marine Plywood,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",Gurjan,6,,,,,,,,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",,,68
Cochin Premium Marine Plywood,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",Gurjan,8,,,,,,,,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",,,74
Cochin Premium Marine Plywood,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",Gurjan,12,,,,,,,,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",,,81
Cochin Premium Marine Plywood,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",Gurjan,16,,,,,,,,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",,,86
Cochin Premium Marine Plywood,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",Gurjan,18,,,,,,,,"MR (Moisture Resistant), BWP (Boiling Water Proof), ISI 710",,,95
Block Board,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,19,Hardwood,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,54
Block Board,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,25,Hardwood,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,64
Flush Door,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,30,Hardwood,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,81
Flush Door,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,25,Pine Wood,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,85
Flush Door,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,30,Pine Wood,,,,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,92
Rubwood Finger Joint Board,Finger Joint Board,,12,,,,,,,,Finger Joint Board,,,62
Rubwood Finger Joint Board,Finger Joint Board,,18,,,,,,,,Finger Joint Board,,,83
